"contrast","estimate","SE","df","t.ratio","p.value"
"entry1 - entry2",-124.680529589255,65.7702797930752,71,-1.89569711397794,0.929241946608898
"entry1 - entry4",177.032811926682,65.0530010072301,71,2.72136272248234,0.430078955979783
"entry1 - entry6",227.161538144079,65.2802124417662,71,3.47979164967823,0.0860130026417451
"entry1 - entry7",72.0179188301993,70.5004947630373,71,1.02152359458274,0.999958040436896
"entry1 - entry9",244.888350092459,88.0548683007743,71,2.78108814217948,0.390094986908482
"entry1 - entry10",210.33804020964,67.8781220448647,71,3.09876045289843,0.212444388411152
"entry1 - entry11",-332.071143204149,65.4569187546608,71,-5.07312518709879,0.000489753618710398
"entry1 - entry12",254.467741903282,70.9913988526315,71,3.58448693807996,0.0651725008318121
"entry1 - entry13",-124.512708611164,65.0573744367212,71,-1.91389077240232,0.923418262020666
"entry1 - entry14",466.754950663975,65.3419577704588,71,7.14326546969482,1.18124262149522e-07
"entry1 - entry16",-36.3653962853713,70.0714104566881,71,-0.518976227941767,0.99999999947715
"entry1 - entry17",73.2709781190836,68.7739046530365,71,1.06538924158421,0.999921824106967
"entry1 - entry18",198.400459802328,70.7058349486499,71,2.80599840092995,0.373931091280979
"entry1 - entry19",152.005941727068,77.941252529312,71,1.95026300956483,0.910834194224505
"entry1 - entry20",-269.284074660236,69.8250012048338,71,-3.85655667760438,0.0301248179414699
"entry1 - entry3",228.777865107296,75.6884997577631,71,3.0226238575145,0.248977786596853
"entry1 - entry5",23.2362677948383,68.3960110946418,71,0.339731329692392,1
"entry1 - entry8",335.297991862695,71.9632803615271,71,4.65929276956574,0.00219545971624391
"entry1 - entry15",327.546191118126,88.8957754490307,71,3.68460918939763,0.0494632347146413
"entry2 - entry4",301.713341515936,65.4913953476885,71,4.60691576220303,0.00263802146908976
"entry2 - entry6",351.842067733333,65.7186375748096,71,5.35376387456025,0.000169589074787369
"entry2 - entry7",196.698448419454,70.9580021043301,71,2.77204039835066,0.396044353193085
"entry2 - entry9",369.568879681714,88.3070821112167,71,4.18504236405713,0.0108964041642138
"entry2 - entry10",335.018569798894,68.2998355155556,71,4.90511532377838,0.000909538744169769
"entry2 - entry11",-207.390613614895,65.8936835953011,71,-3.14735195088841,0.191206449104508
"entry2 - entry12",379.148271492537,71.3315235617086,71,5.31529753692331,0.000196477513165982
"entry2 - entry13",0.167820978091015,65.4941425564074,71,0.00256238148238185,1
"entry2 - entry14",591.43548025323,65.7796013470679,71,8.99116851032106,0
"entry2 - entry16",88.3151333038833,70.4911927098284,71,1.25285344039256,0.999246230664864
"entry2 - entry17",197.951507708338,69.1200010283369,71,2.86388172400612,0.337685759637948
"entry2 - entry18",323.080989391583,71.1643790939579,71,4.53992564124,0.0033288917997788
"entry2 - entry19",276.686471316323,78.346151248214,71,3.53158983444806,0.0750882324093778
"entry2 - entry20",-144.603545070981,70.2457519600482,71,-2.05853793341445,0.865817519713675
"entry2 - entry3",353.45839469655,76.1238230263708,71,4.64320341050272,0.00232324255363536
"entry2 - entry5",147.916797384093,68.8095784742773,71,2.14965417117601,0.81935498611053
"entry2 - entry8",459.97852145195,72.3560862311523,71,6.35715038514493,3.11845021105928e-06
"entry2 - entry15",452.226720707381,89.3159488701664,71,5.06322472557233,0.000508125964709061
"entry4 - entry6",50.128726217397,65.00034280291,71,0.771207105313186,0.999999508373268
"entry4 - entry7",-105.014893096483,70.2587560120263,71,-1.49468762410919,0.993311220401436
"entry4 - entry9",67.8555381657775,87.8746498464712,71,0.772185588043084,0.999999497939723
"entry4 - entry10",33.3052282829581,67.6014218698372,71,0.492670529135991,0.999999999794076
"entry4 - entry11",-509.103955130831,65.176817074627,71,-7.81112024154096,6.90924806256987e-09
"entry4 - entry12",77.4349299766005,70.7389963952929,71,1.09465689255599,0.999884067141605
"entry4 - entry13",-301.545520537845,64.7756366221528,71,-4.65523051972165,0.00222707332577587
"entry4 - entry14",289.722138737293,65.0618859196546,71,4.45302398850033,0.00448371370334366
"entry4 - entry16",-213.398208212053,69.8153600579407,71,-3.05660828841892,0.232178363862854
