"env","cov","entry","estimate","stderr","df","lower.CL","upper.CL","var_lsmean"
"Akron_2024","sph","1",4778.12638815201,222.130953132428,3,4071.20655706656,5485.04621923745,49342.1603395207
"Akron_2024","sph","2",4752.34151954327,225.890369179002,3,4033.45754875038,5471.22549033615,51026.4588878259
"Akron_2024","sph","4",4593.76761057575,229.479886364622,3,3863.46019407774,5324.07502707377,52661.0182459196
"Akron_2024","sph","6",4465.37332783253,225.748884940485,3,3746.93962303176,5183.80703263329,50962.5590518722
"Akron_2024","sph","7",4526.86047198187,221.317654930687,3,3822.52891875365,5231.19202521009,48981.5043840188
"Akron_2024","sph","9",4434.82273860076,225.52328397111,3,3717.10699677145,5152.53848043006,50860.7516131138
"Akron_2024","sph","10",4410.57678844481,227.462698803468,3,3686.68896304785,5134.46461384177,51739.2793469572
"Akron_2024","sph","11",4900.27820725138,232.177945175707,3,4161.38436345859,5639.17205104417,53906.5982260134
"Akron_2024","sph","12",4466.76864572095,223.067830324724,3,3756.86725327637,5176.67003816552,49759.2569257799
"Akron_2024","sph","13",5011.90085017743,227.485177930057,3,4287.94148616711,5735.86021418775,51749.5061778698
"Akron_2024","sph","14",4220.22525783509,228.293519640589,3,3493.69338973468,4946.75712593549,52117.9311098882
"Akron_2024","sph","16",4907.84361030095,226.074853243156,3,4188.37252887971,5627.31469172219,51109.8392689147
"Akron_2024","sph","17",4599.766986596,227.27586962276,3,3876.4737350349,5323.06023815709,51654.3209127818
"Akron_2024","sph","18",4475.33459835034,228.953964259547,3,3746.70090071249,5203.96829598819,52419.9177501619
"Akron_2024","sph","19",4521.40060161721,221.658306131339,3,3815.98494423408,5226.81625900033,49132.4046770143
"Akron_2024","sph","20",4927.0558643092,227.273002344286,3,4203.77173770789,5650.33999091051,51653.0175945858
"Akron_2025","gau","1",4895.03911901233,477.415750306495,3,3375.68912836517,6414.38910965949,227925.798640714
"Akron_2025","gau","3",4306.5473317698,476.652666809776,3,2789.6258133774,5823.4688501622,227197.764776872
"Akron_2025","gau","4",4460.95023269906,477.817484359268,3,2940.32174499995,5981.57872039817,228309.548359419
"Akron_2025","gau","5",4501.37763296393,483.72040907933,3,2961.9634042991,6040.79186162877,233985.434159874
"Akron_2025","gau","6",4575.54706927173,478.275155519729,3,3053.46206767897,6097.63207086448,228747.124387421
"Akron_2025","gau","7",4626.18782439033,483.652592411003,3,3086.98941863104,6165.38623014961,233919.830145884
"Akron_2025","gau","8",4277.51966626679,482.057741747627,3,2743.39678710865,5811.64254542493,232379.666378822
"Akron_2025","gau","10",4422.31106959154,479.676980474629,3,2895.76483535041,5948.85730383266,230090.005597257
"Akron_2025","gau","11",4843.72949761565,478.114463726587,3,3322.15588902627,6365.30310620503,228593.440424562
"Akron_2025","gau","13",4701.29048584575,483.486389480927,3,3162.62101198722,6239.95995970429,233759.088813302
"Akron_2025","gau","14",4291.24133181177,478.828820152723,3,2767.39432225338,5815.08834137016,229277.039008849
"Akron_2025","gau","15",4460.00317090774,480.757684140889,3,2930.01765527681,5989.98868653866,231127.950860511
"Akron_2025","gau","16",4823.26851811793,474.547410579886,3,3313.04686463602,6333.49017159983,225195.244888075
"Akron_2025","gau","18",4260.89143318484,476.633586013351,3,2744.03063840253,5777.75222796716,227179.575315947
"Akron_2025","gau","19",4237.66975803573,476.070311265728,3,2722.60155489286,5752.73796117861,226642.941268647
"Akron_2025","gau","20",4709.37931353643,482.607639469774,3,3173.50641440416,6245.25221266871,232910.133674588
"FortCollins_2024","sph","1",4568.58795765239,200.720719565493,3,3929.8050452773,5207.37087002747,40288.8072628891
"FortCollins_2024","sph","2",4785.47317339816,200.059227920321,3,4148.79542266522,5422.15092413109,40023.6946760748
"FortCollins_2024","sph","3",4262.10577069214,199.245793845651,3,3628.01673022473,4896.19481115955,39698.8863651837
"FortCollins_2024","sph","4",4483.73739701125,194.92999258604,3,3863.38316231683,5104.09163170567,37997.7020095935
"FortCollins_2024","sph","5",4493.95865251439,196.507947768176,3,3868.58266018067,5119.3346448481,38615.3735360604
"FortCollins_2024","sph","6",4316.44815411987,194.784116591894,3,3696.55816194405,4936.3381462957,37940.8520764844
"FortCollins_2024","sph","7",4447.46516773592,200.954824216267,3,3807.93722987992,5086.99310559191,40382.8413757908
"FortCollins_2024","sph","8",4226.20007252611,195.836331793132,3,3602.96146197074,4849.43868308147,38351.8688501898
"FortCollins_2024","sph","10",4416.76618620008,196.550211674951,3,3791.2556912524,5042.27668114775,38631.9857094681
"FortCollins_2024","sph","11",5058.46308293538,199.626011493031,3,4423.16402022085,5693.7621456499,39850.5444646159
"FortCollins_2024","sph","12",4110.15013872752,196.609898962505,3,3484.44969219209,4735.85058526294,38655.4523700463
"FortCollins_2024","sph","13",4664.71646425294,197.215294079659,3,4037.08938026369,5292.34354824219,38893.8722189263
"FortCollins_2024","sph","14",4206.17710688483,197.48756872691,3,3577.68352345041,4834.67069031924,39001.3398016659
"FortCollins_2024","sph","16",4739.15978036142,197.541343996559,3,4110.49506001879,5367.82450070405,39022.5825879668
