site,year,env,rep,row,col,entry,yield
Burlington,2025,Burlington_2025,1.00,10.00,2.00,1.00,64.19
Burlington,2025,Burlington_2025,2.00,4.00,5.00,1.00,68.14
Burlington,2025,Burlington_2025,3.00,1.00,10.00,1.00,72.20
Lamar,2025,Lamar_2025,1.00,12.00,1.00,1.00,84.05
Lamar,2025,Lamar_2025,2.00,14.00,3.00,1.00,75.91
Lamar,2025,Lamar_2025,3.00,16.00,5.00,1.00,81.86
SLake,2025,SLake_2025,1.00,16.00,2.00,1.00,69.08
SLake,2025,SLake_2025,2.00,20.00,4.00,1.00,63.58
SLake,2025,SLake_2025,3.00,19.00,5.00,1.00,67.37
Walsh,2025,Walsh_2025,1.00,4.00,2.00,1.00,70.23
Walsh,2025,Walsh_2025,2.00,10.00,4.00,1.00,68.55
Walsh,2025,Walsh_2025,3.00,5.00,5.00,1.00,61.18
Akron,2025,Akron_2025,1.00,1.00,2.00,1.00,44.91
Akron,2025,Akron_2025,2.00,7.00,5.00,1.00,47.43
Akron,2025,Akron_2025,3.00,10.00,11.00,1.00,47.94
Genoa,2025,Genoa_2025,1.00,16.00,2.00,1.00,70.60
Genoa,2025,Genoa_2025,2.00,26.00,3.00,1.00,50.92
Genoa,2025,Genoa_2025,3.00,21.00,5.00,1.00,54.30
Julesburg,2025,Julesburg_2025,1.00,4.00,2.00,1.00,66.13
Julesburg,2025,Julesburg_2025,2.00,11.00,6.00,1.00,68.46
Julesburg,2025,Julesburg_2025,3.00,5.00,12.00,1.00,74.20
Orchard,2025,Orchard_2025,1.00,18.00,1.00,1.00,25.27
Orchard,2025,Orchard_2025,2.00,12.00,5.00,1.00,21.04
Orchard,2025,Orchard_2025,3.00,14.00,8.00,1.00,21.69
Yuma,2025,Yuma_2025,1.00,4.00,2.00,1.00,97.25
Yuma,2025,Yuma_2025,2.00,23.00,3.00,1.00,90.78
Yuma,2025,Yuma_2025,3.00,3.00,5.00,1.00,88.39
Burlington,2025,Burlington_2025,1.00,2.00,3.00,2.00,67.39
Burlington,2025,Burlington_2025,2.00,6.00,6.00,2.00,61.84
Burlington,2025,Burlington_2025,3.00,9.00,11.00,2.00,66.22
Lamar,2025,Lamar_2025,1.00,3.00,2.00,2.00,82.27
Lamar,2025,Lamar_2025,2.00,1.00,3.00,2.00,78.33
Lamar,2025,Lamar_2025,3.00,21.00,6.00,2.00,82.98
SLake,2025,SLake_2025,1.00,21.00,1.00,2.00,69.99
