"env","site","year","rep","row","col","entry","yield","fitted","resid","resid_norm","resid_kind","flag_outlier"
"MilletVT_2025","MilletVT",2025,"3",11,2,"1",4802.482127,4895.9789273896,-93.4968003895983,-0.292258477606139,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",16,2,"3",3856.909792,4897.04555622703,-1040.13576422703,-3.40638145146251,"normalized (nlme)",TRUE
"MilletVT_2025","MilletVT",2025,"1",2,2,"4",4909.217206,4890.00656274948,19.2106432505179,0.526641609948803,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",6,2,"5",4737.33834,4640.99372234924,96.3446176507614,1.61257500474246,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",15,2,"6",3552.813559,4461.42172329623,-908.608164296231,-2.3439976323173,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",3,2,"7",4816.181541,4621.01667861091,195.164862389086,1.96282902192124,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",10,2,"9",4575.307254,4099.15170133994,476.155552660059,2.80647917147816,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",12,2,"10",4459.069002,4945.4378392264,-486.368837226398,-1.63010484180722,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",1,2,"11",4313.555145,4315.16091678559,-1.60577178558651,0.0552388605601264,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",7,2,"12",4172.139449,4161.88458299421,10.2548660057882,0.60844236240787,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",9,2,"13",4216.145634,3888.91415053764,327.231483462364,1.63334854609081,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",14,2,"14",3859.322034,4030.69380358591,-171.371769585915,-0.340796977331233,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",5,2,"15",5308.602297,4808.15867628172,500.443620718278,1.39358236064116,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",13,2,"18",4501.68881,5028.92254126833,-527.233731268335,-2.11710739599089,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",8,2,"19",5245.168287,4999.36687265082,245.801414349184,0.749705244768312,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",4,2,"20",4392.294963,4302.62571602342,89.6692469765794,0.878321719295981,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",15,3,"1",4356,4895.97889605809,-539.978896058092,-1.68790171902972,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",16,3,"2",3947.912282,4498.6951476491,-550.782865649097,-1.15562826144626,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",5,3,"4",5080.950277,4890.00657095993,190.943706040071,1.48255324538617,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",12,3,"5",4902.454976,4640.99371195745,261.461264042553,1.75278978122351,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",9,3,"7",4720.693871,4621.01667642957,99.6771945704313,0.6123901949848,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",7,3,"8",4492.145875,4352.6914352417,139.454439758297,0.990555330694548,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",8,3,"9",4217.977348,4099.15171173173,118.825636268267,0.349124659154859,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"2",6,3,"10",5035.329745,4945.43784961819,89.8918953818102,0.550816070022136,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"4",13,3,"11",4462.371917,4315.16088327274,147.211033727265,0.334572064976487,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",3,3,"12",4000.549522,4161.88457478376,-161.335052783765,-0.894120152108996,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",2,3,"13",3710.293196,3888.91415271898,-178.620956718981,-0.746931481527168,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",4,3,"14",4429.910033,4030.69383709877,399.216195901235,1.18666117733658,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"1",1,3,"16",4867.040084,4542.53291394631,324.50717005369,1.2567656140399,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",11,3,"17",4395.979597,4249.42078708048,146.558809919517,0.198580830348219,"normalized (nlme)",FALSE
"MilletVT_2025","MilletVT",2025,"3",10,3,"18",5144.013174,5028.92257259984,115.090601400158,-0.0952333913453812,"normalized (nlme)",FALSE
