"contrast","estimate","SE","df","t.ratio","p.value"
"entry1 - entry2",2.04688488672981,2.28310458921309,328,0.896535750661908,1
"entry1 - entry3",4.26241899818084,2.29149850923046,328,1.8601011438634,0.999045071537771
"entry1 - entry4",2.08517852562108,2.29511575079381,328,0.908528698345552,1
"entry1 - entry5",0.395072018160976,2.29087688829753,328,0.172454495559809,1
"entry1 - entry6",12.4135327931388,2.29008027287685,328,5.42056666753634,9.26796157973975e-05
"entry1 - entry8",-0.253383164220718,2.28632167636716,328,-0.1108256842595,1
"entry1 - entry9",5.69488004842645,2.30017625538599,328,2.47584507278152,0.908755504777588
"entry1 - entry10",11.2691877533912,2.27887712723196,328,4.94506159139846,0.000914311038729965
"entry1 - entry11",1.54692953216356,2.28219170999383,328,0.677826286630296,1
"entry1 - entry12",9.07379594665205,2.28471405045371,328,3.97152367704401,0.0463392506213779
"entry1 - entry13",3.66491249280183,2.29347046726444,328,1.5979767540557,0.999969006414521
"entry1 - entry14",-1.12084368763342,2.28757876490723,328,-0.489969440540282,1
"entry1 - entry15",1.11884647110464,2.28861621931907,328,0.488874657821629,1
"entry1 - entry16",1.51029347637782,2.28805006670866,328,0.660078858567268,1
"entry1 - entry17",2.35053369406111,2.29073013435387,328,1.02610676779878,0.999999999931814
"entry1 - entry18",7.94070187997229,2.324023000201,328,3.41679143420075,0.236867009233238
"entry1 - entry20",-1.2914495079912,2.29614124158964,328,-0.562443409229091,1
"entry1 - entry21",1.89524766995851,2.2775488086699,328,0.832143602255153,1
"entry1 - entry22",3.58308300294677,2.29303621852722,328,1.56259328744843,0.999982256736799
"entry1 - entry23",4.24392197444368,2.29530541274366,328,1.84895742016778,0.999155748877506
"entry1 - entry24",1.37126369837078,2.32841007074151,328,0.588927060401385,1
"entry1 - entry25",4.96293194940553,2.3054199602443,328,2.15272359699689,0.986407356142017
"entry1 - entry26",-4.97007301044131,2.36904355136432,328,-2.09792386787447,0.991070150948171
"entry1 - entry27",2.58492260920315,2.35622676805325,328,1.09706019991397,0.999999999387149
"entry1 - entry28",4.12379322409681,2.29295603614835,328,1.79846153135315,0.999527939788294
"entry1 - entry29",5.69134609290702,2.2943862495905,328,2.48055273776279,0.906773107525328
"entry1 - entry30",7.71241140619272,2.28737671619878,328,3.37172768769344,0.263839348766698
"entry1 - entry31",8.40993666093437,2.29029770091598,328,3.67198406459164,0.119502087169563
"entry1 - entry32",-1.865587817873,2.30465962940285,328,-0.809485181270079,1
"entry1 - entry33",2.37483577001295,2.29018730423804,328,1.03696137238132,0.999999999903239
"entry1 - entry34",2.93814779443062,2.2960841197972,328,1.27963421248265,0.999999927194957
"entry1 - entry35",3.09693744389374,2.32968547046496,328,1.32933715008132,0.999999777949807
"entry1 - entry36",3.87298150832242,2.30597025967787,328,1.67954529858657,0.999897765875381
"entry1 - entry37",1.65765079986575,2.28176157853307,328,0.726478531088004,1
"entry1 - entry40",2.93242551572192,2.30022978735291,328,1.27484024937201,0.999999934869404
"entry1 - entry41",9.81194954815416,2.34819536653755,328,4.17850647692148,0.0222278781813499
"entry1 - entry42",3.45917444176733,2.29080971348792,328,1.51002260091716,0.999992615903623
"entry1 - entry43",11.7937119310338,2.30310467763464,328,5.12078849283841,0.000402231023692856
"entry1 - entry44",9.21802866049949,2.28555522717853,328,4.0331681995184,0.037473354061616
"entry1 - entry45",2.27950039922967,2.2938976616195,328,0.993723668396059,0.999999999976832
"entry1 - entry46",6.29956140160471,2.29448152092748,328,2.74552718954054,0.751183466022107
"entry2 - entry3",2.21553411145103,2.29014939536872,328,0.967419032108307,0.999999999990748
"entry2 - entry4",0.0382936388912669,2.29376842394207,328,0.016694640353212,1
"entry2 - entry5",-1.65181286856883,2.28957562894886,328,-0.721449358424198,1
"entry2 - entry6",10.366647906409,2.28872674269438,328,4.52943888539746,0.00561452490956205
"entry2 - entry8",-2.30026805095053,2.28494062616362,328,-1.00670801884802,0.999999999964042
"entry2 - entry9",3.64799516169664,2.29893493728638,328,1.58681966267504,0.999973934330082
"entry2 - entry10",9.2223028666614,2.27746308206101,328,4.04937535071506,0.0354057053624343
"entry2 - entry11",-0.499955354566249,2.28080460994493,328,-0.219201308339306,1
"entry2 - entry12",7.02691105992224,2.28334375119835,328,3.07746525516991,0.480640651981967
"entry2 - entry13",1.61802760607202,2.29215178514626,328,0.705898979534103,1
"entry2 - entry14",-3.16772857436323,2.2862112459907,328,-1.38557999831312,0.999999278256769
"entry2 - entry15",-0.928038415625167,2.28723793663463,328,-0.405746337432062,1
"entry2 - entry16",-0.536591410351991,2.28669880589662,328,-0.234657668499368,1
"entry2 - entry17",0.303648807331302,2.2893587086567,328,0.132634875514755,1
