"env","cov","engine","converged","n","k","logLik","AIC","AICc","BIC","best"
"Akron_2025","expa","nlme::lme",TRUE,126,46,-249.29367302593,590.587346051859,645.321523267049,702.404918798652,TRUE
"Akron_2025","exp","nlme::lme",TRUE,126,46,-249.29367302593,590.587346051859,645.321523267049,702.404918798652,FALSE
"Akron_2025","sph","nlme::lme",TRUE,126,46,-250.614615498107,593.229230996215,647.963408211405,705.046803743007,FALSE
"Akron_2025","gau","nlme::lme",TRUE,126,46,-250.365766283231,592.731532566462,647.465709781652,704.549105313254,FALSE
"Burlington_2025","expa","nlme::lme",TRUE,124,46,-245.597047496523,583.194094993045,639.349939148889,693.903180367201,FALSE
"Burlington_2025","exp","nlme::lme",TRUE,124,46,-245.597047496523,583.194094993045,639.349939148889,693.903180367201,FALSE
"Burlington_2025","sph","nlme::lme",TRUE,124,46,-248.178291954019,588.356583908038,644.512428063882,699.065669282193,FALSE
"Burlington_2025","gau","nlme::lme",TRUE,124,46,-245.163154784955,582.326309569911,638.482153725755,693.035394944066,TRUE
"Genoa_2025","expa","nlme::lme",TRUE,124,46,-288.262418786545,668.52483757309,724.680681728934,779.233922947246,FALSE
"Genoa_2025","exp","nlme::lme",TRUE,124,46,-288.262418786545,668.52483757309,724.680681728934,779.233922947246,FALSE
"Genoa_2025","sph","nlme::lme",TRUE,124,46,-287.821573820316,667.643147640633,723.798991796477,778.352233014788,FALSE
"Genoa_2025","gau","nlme::lme",TRUE,124,46,-287.209653833189,666.419307666377,722.575151822221,777.128393040533,TRUE
"Julesburg_2025","expa","nlme::lme",TRUE,126,46,-305.221253004109,702.442506008218,757.176683223408,814.26007875501,FALSE
"Julesburg_2025","exp","nlme::lme",TRUE,126,46,-305.221253004109,702.442506008218,757.176683223408,814.26007875501,FALSE
"Julesburg_2025","sph","nlme::lme",TRUE,126,46,-305.029176603614,702.058353207227,756.792530422417,813.87592595402,TRUE
"Julesburg_2025","gau","nlme::lme",TRUE,126,46,-305.156293779844,702.312587559688,757.046764774878,814.130160306481,FALSE
"Lamar_2025","expa","nlme::lme",TRUE,120,46,-223.299889640478,538.599779280956,597.832655993285,647.008385308677,FALSE
"Lamar_2025","exp","nlme::lme",TRUE,120,46,-223.299889640478,538.599779280956,597.832655993285,647.008385308677,FALSE
"Lamar_2025","sph","nlme::lme",TRUE,120,46,-222.321843217101,536.643686434203,595.876563146531,645.052292461924,TRUE
"Lamar_2025","gau","nlme::lme",TRUE,120,46,-222.383108468944,536.766216937889,595.999093650217,645.17482296561,FALSE
"Orchard_2025","expa","nlme::lme",TRUE,124,46,-263.876256997724,619.752513995449,675.908358151293,730.461599369604,FALSE
"Orchard_2025","exp","nlme::lme",TRUE,124,46,-263.876256997724,619.752513995449,675.908358151293,730.461599369604,FALSE
"Orchard_2025","sph","nlme::lme",TRUE,124,46,-262.457686346785,616.915372693571,673.071216849415,727.624458067726,TRUE
"Orchard_2025","gau","nlme::lme",TRUE,124,46,-262.693066069246,617.386132138493,673.541976294337,728.095217512648,FALSE
"SLake_2025","expa","nlme::lme",TRUE,124,46,-238.555395840632,569.110791681265,625.266635837109,679.819877055421,FALSE
"SLake_2025","exp","nlme::lme",TRUE,124,46,-238.555395840632,569.110791681265,625.266635837109,679.819877055421,FALSE
"SLake_2025","sph","nlme::lme",TRUE,124,46,-238.202269537266,568.404539074532,624.560383230376,679.113624448687,FALSE
"SLake_2025","gau","nlme::lme",TRUE,124,46,-238.055617363892,568.111234727785,624.267078883629,678.82032010194,TRUE
"Walsh_2025","expa","nlme::lme",TRUE,123,46,-277.167356544611,646.334713089222,703.229449931328,756.479374204155,FALSE
"Walsh_2025","exp","nlme::lme",TRUE,123,46,-277.167356544611,646.334713089222,703.229449931328,756.479374204155,FALSE
"Walsh_2025","sph","nlme::lme",TRUE,123,46,-276.629354424036,645.258708848073,702.153445690178,755.403369963005,FALSE
"Walsh_2025","gau","nlme::lme",TRUE,123,46,-276.273975660242,644.547951320484,701.442688162589,754.692612435416,TRUE
"Yuma_2025","expa","nlme::lme",TRUE,124,46,-243.448453629272,578.896907258544,635.052751414388,689.6059926327,FALSE
"Yuma_2025","exp","nlme::lme",TRUE,124,46,-243.448453629272,578.896907258544,635.052751414388,689.6059926327,FALSE
"Yuma_2025","sph","nlme::lme",TRUE,124,46,-243.36718439243,578.73436878486,634.890212940704,689.443454159016,TRUE
"Yuma_2025","gau","nlme::lme",TRUE,124,46,-243.515976773176,579.031953546353,635.187797702197,689.741038920508,FALSE
