"contrast","estimate","SE","df","t.ratio","p.value"
"entry1 - entry2",-124.680529522068,65.7702797917811,71,-1.8956971129937,0.929241946915556
"entry1 - entry4",177.032811928034,65.0530010055839,71,2.72136272257199,0.430078955918574
"entry1 - entry6",227.161538071683,65.2802124401749,71,3.47979164865406,0.086013002870311
"entry1 - entry7",72.0179188703806,70.5004947638482,71,1.02152359514093,0.999958040436553
"entry1 - entry9",244.888350112666,88.0548682883458,71,2.78108814280149,0.390094986500881
"entry1 - entry10",210.338040256605,67.8781220393994,71,3.09876045383983,0.212444387984057
"entry1 - entry11",-332.071143159676,65.4569187529621,71,-5.07312518655101,0.000489753619709599
"entry1 - entry12",254.467741892003,70.9913988520818,71,3.58448693794884,0.0651725008549257
"entry1 - entry13",-124.512708657495,65.0573744350043,71,-1.91389077316499,0.923418261770009
"entry1 - entry14",466.754950657731,65.3419577688028,71,7.14326546978029,1.18124261483388e-07
"entry1 - entry16",-36.3653962167754,70.0714104548913,71,-0.518976226976132,0.99999999947715
"entry1 - entry17",73.2709781499511,68.7739046478662,71,1.06538924211313,0.999921824106399
"entry1 - entry18",198.400459832748,70.7058349495602,71,2.80599840132405,0.373931091027835
"entry1 - entry19",152.005941803066,77.9412525280415,71,1.95026301057168,0.910834193858609
"entry1 - entry20",-269.284074643201,69.8250012023504,71,-3.85655667749758,0.0301248179509972
"entry1 - entry3",228.777865154153,75.68849976125,71,3.02262385799434,0.248977786354065
"entry1 - entry5",23.2362677889794,68.3960110936387,71,0.339731329611714,1
"entry1 - entry8",335.297991896663,71.9632803555501,71,4.65929277042474,0.00219545970960477
"entry1 - entry15",327.546191137803,88.8957754557156,71,3.68460918934189,0.04946323472237
"entry2 - entry4",301.713341450102,65.4913953465737,71,4.60691576127621,0.00263802147762693
"entry2 - entry6",351.842067593751,65.7186375737484,71,5.35376387252276,0.000169589076111976
"entry2 - entry7",196.698448392448,70.9580021056593,71,2.77204039791814,0.396044353478454
"entry2 - entry9",369.568879634733,88.3070820991553,71,4.18504236409674,0.0108964041628238
"entry2 - entry10",335.018569778672,68.2998355106064,71,4.90511532383773,0.000909538743972593
"entry2 - entry11",-207.390613637608,65.8936835941324,71,-3.14735195128893,0.191206448936076
"entry2 - entry12",379.148271414071,71.3315235615896,71,5.31529753583216,0.000196477513985549
"entry2 - entry13",0.167820864572988,65.494142555221,71,0.00256237974917362,1
"entry2 - entry14",591.435480179798,65.7796013459407,71,8.9911685093588,0
"entry2 - entry16",88.3151333052921,70.4911927085335,71,1.25285344043556,0.999246230664521
"entry2 - entry17",197.951507672019,69.1200010236296,71,2.8638817236757,0.337685759839305
"entry2 - entry18",323.080989354815,71.1643790953889,71,4.53992564063205,0.00332889180676699
"entry2 - entry19",276.686471325133,78.3461512474174,71,3.53158983459642,0.0750882323798573
"entry2 - entry20",-144.603545121134,70.2457519580752,71,-2.05853793418622,0.865817519352601
"entry2 - entry3",353.458394676221,76.1238230303603,71,4.64320340999232,0.00232324255780048
"entry2 - entry5",147.916797311047,68.8095784737882,71,2.14965417012972,0.819354986686613
"entry2 - entry8",459.978521418731,72.3560862256751,71,6.35715038516705,3.1184502111703e-06
"entry2 - entry15",452.226720659871,89.3159488773295,71,5.06322472463433,0.000508125966481865
"entry4 - entry6",50.1287261436493,65.0003428014979,71,0.771207104195367,0.99999950837328
"entry4 - entry7",-105.014893057653,70.2587560130319,71,-1.49468762353513,0.993311220430742
"entry4 - entry9",67.8555381846316,87.8746498341222,71,0.772185588366156,0.99999949793972
"entry4 - entry10",33.3052283285707,67.6014218645274,71,0.492670529849418,0.999999999794076
"entry4 - entry11",-509.10395508771,65.1768170731071,71,-7.81112024106149,6.90924817359218e-09
"entry4 - entry12",77.4349299639692,70.7389963948917,71,1.09465689238363,0.999884067141869
"entry4 - entry13",-301.545520585529,64.7756366206164,71,-4.6552305205682,0.0022270733191424
"entry4 - entry14",289.722138729697,65.0618859181777,71,4.45302398848464,0.00448371370358269
"entry4 - entry16",-213.39820814481,69.8153600562904,71,-3.05660828752801,0.232178364292856
"entry4 - entry17",-103.761833778083,68.4988370880101,71,-1.51479701246264,0.992217713479405
"entry4 - entry18",21.3676479047136,70.4624959524444,71,0.303248524138781,1
"entry4 - entry19",-25.0268701249685,77.7427951137749,71,-0.321918836187228,1
"entry4 - entry20",-446.316886571235,69.583774607702,71,-6.41409422077879,2.46798859548925e-06
"entry4 - entry3",51.745053226119,75.4277787495914,71,0.686021172622684,0.999999931293261
"entry4 - entry5",-153.796544139055,68.0995340678153,71,-2.25840817039805,0.754754303046131
"entry4 - entry8",158.265179968629,71.6673941205024,71,2.20832893271548,0.785625861088525
"entry4 - entry15",150.513379209769,88.6980125402472,71,1.69691941114772,0.974190541008438
"entry6 - entry7",-155.143619201303,70.4654928572208,71,-2.20169636102112,0.789576469492137
"entry6 - entry9",17.7268120409823,88.020810093318,71,0.201393420739808,1
"entry6 - entry10",-16.8234978150786,67.827982181681,71,-0.248031819227881,1
"entry6 - entry11",-559.232681231359,65.4046758419821,71,-8.55034711252857,2.25933050046478e-10
"entry6 - entry12",27.3062038203199,70.9165549007494,71,0.385046959183734,0.999999999997834
"entry6 - entry13",-351.674246729178,65.0056990386545,71,-5.40989870011337,0.000136680758902386
"entry6 - entry14",239.593412586047,65.2897648692028,71,3.66969329826862,0.0515702005899191
"entry6 - entry16",-263.526934288459,69.9968830495419,71,-3.76483813003419,0.0393789201314667
"entry6 - entry17",-153.890559921732,68.7220469850221,71,-2.2393186273289,0.766732108422178
"entry6 - entry18",-28.7610782389357,70.6678038194393,71,-0.406989840980796,0.999999999993694
"entry6 - entry19",-75.1555962686178,77.9027569945431,71,-0.964736026914713,0.999982359354556
"entry6 - entry20",-496.445612714885,69.8023658962948,71,-7.11216025904413,1.34661597317454e-07
"entry6 - entry3",1.61632708246972,75.6429510122157,71,0.0213678480392535,1
"entry6 - entry5",-203.925270282704,68.3332336528353,71,-2.98427660132022,0.268881747022068
"entry6 - entry8",108.13645382498,71.9014331062588,71,1.50395408204412,0.992824184894481
"entry6 - entry15",100.38465306612,88.8964122039189,71,1.12923177187228,0.999819084557465
"entry7 - entry9",172.870431242285,92.6913241578045,71,1.86501199344156,0.938367353325105
"entry7 - entry10",138.320121386224,72.9862146757763,71,1.8951540643761,0.929411006148699
"entry7 - entry11",-404.089062030056,70.6437485608228,71,-5.72009654445423,4.0713328614439e-05
"entry7 - entry12",182.449823021623,75.9860850810158,71,2.4010951850868,0.658655244392297
"entry7 - entry13",-196.530627527875,70.268369335844,71,-2.79685766704742,0.37982479191027
"entry7 - entry14",394.73703178735,70.526313289072,71,5.59701781332889,6.60719041489788e-05
"entry7 - entry16",-108.383315087156,75.1280073413503,71,-1.44264860632743,0.995567459637024
"entry7 - entry17",1.25305927957051,73.8614233843986,71,0.016965003139043,1
"entry7 - entry18",126.382540962367,74.9353317163831,71,1.68655476752545,0.975707053900222
"entry7 - entry19",79.988022932685,82.693390801175,71,0.967284351962363,0.999981631201994
"entry7 - entry20",-341.301993513582,74.8745200967251,71,-4.55831961357052,0.00312372988952292
"entry7 - entry3",156.759946283773,79.6326000377053,71,1.96853984686609,0.904031031901942
"entry7 - entry5",-48.7816510814012,73.4500763171596,71,-0.664147044187682,0.999999960525479
"entry7 - entry8",263.280073026283,76.9325465109841,71,3.42221965821309,0.0996896956118704
"entry7 - entry15",255.528272267422,92.2589893787479,71,2.76968427670945,0.397600262248576
"entry9 - entry10",-34.5503098560609,89.7097704049445,71,-0.385134302541439,0.999999999997825
"entry9 - entry11",-576.959493272341,88.1560297720356,71,-6.5447536006818,1.43974993727092e-06
"entry9 - entry12",9.57939177933761,91.7893188446575,71,0.104362815847338,1
"entry9 - entry13",-369.40105877016,87.8585759312825,71,-4.20449631529519,0.0102330040645942
"entry9 - entry14",221.866600545065,88.0721795349053,71,2.51914511161988,0.573898120657706
"entry9 - entry16",-281.253746329441,91.1343285028698,71,-3.08614493517209,0.218222401177583
"entry9 - entry17",-171.617371962715,90.2886373372238,71,-1.90076378405991,0.927651343870116
"entry9 - entry18",-46.487890279918,92.8909724536417,71,-0.500456492724504,0.999999999727113
"entry9 - entry19",-92.8824083096001,96.6911974428763,71,-0.960608729294863,0.999983483297935
"entry9 - entry20",-514.172424755867,91.0004666700572,71,-5.65021745020402,5.3625191464679e-05
"entry9 - entry3",-16.1104849585126,97.4886050499016,71,-0.165255056734745,1
"entry9 - entry5",-221.652082323686,90.8086348850063,71,-2.44087010672907,0.630388454824441
"entry9 - entry8",90.4096417839974,93.2800249046203,71,0.96922831952974,0.999981057526391
"entry9 - entry15",82.6578410251374,108.096127788864,71,0.764669768621004,0.999999573104464
"entry10 - entry11",-542.40918341628,67.9962601091867,71,-7.97704436310605,3.37254935089959e-09
"entry10 - entry12",44.1297016353985,73.4264726570009,71,0.601005332797924,0.999999993005991
"entry10 - entry13",-334.850748914099,67.5997337021433,71,-4.95343295861952,0.000762212938071882
"entry10 - entry14",256.416910401126,67.8804471698926,71,3.77747821488801,0.0379687313732343
"entry10 - entry16",-246.70343647338,72.5090477124469,71,-3.40238141661638,0.104800386066413
"entry10 - entry17",-137.067062106654,70.8867021727976,71,-1.93360754422643,0.916753603074938
"entry10 - entry18",-11.9375804238571,73.1992224333331,71,-0.163083432132484,1
"entry10 - entry19",-58.3320984535392,80.3001862136948,71,-0.726425444373265,0.999999818915277
"entry10 - entry20",-479.622114899806,72.3015536179693,71,-6.63363497600699,9.96255014262815e-07
"entry10 - entry3",18.4398248975483,78.0745752439314,71,0.236182199389956,1
"entry10 - entry5",-187.101772467625,70.8755376639922,71,-2.63986388864717,0.486926189418754
"entry10 - entry8",124.959951640058,73.9673962528509,71,1.68939232649063,0.975298851490032
"entry10 - entry15",117.208150881198,91.1999977404685,71,1.28517712483658,0.998946431417741
"entry11 - entry12",586.538885051679,71.1039717652885,71,8.24903124944723,1.00800434665871e-09
"entry11 - entry13",207.558434502181,65.1816299264949,71,3.18430874981561,0.176124252662872
"entry11 - entry14",798.826093817406,65.4659642539406,71,12.2021588304845,0
"entry11 - entry16",295.7057469429,70.1834649499489,71,4.2133249926287,0.00994452647154342
"entry11 - entry17",405.342121309627,68.890040112734,71,5.88390020743654,2.12297309480913e-05
"entry11 - entry18",530.471602992423,70.8463238641257,71,7.48763766500858,2.75080120903937e-08
"entry11 - entry19",484.077084962741,78.0570938801581,71,6.201577087996,5.89007823414978e-06
"entry11 - entry20",62.7870685164742,69.9492666648697,71,0.897608674259447,0.99999425992794
"entry11 - entry3",560.849008313829,75.7909286893267,71,7.39994901781446,3.99126519612381e-08
"entry11 - entry5",355.307410948655,68.4865210635637,71,5.18799035826169,0.000318498666715072
"entry11 - entry8",667.369135056339,72.0423002508444,71,9.26357338303501,0
"entry11 - entry15",659.617334297479,88.9941673775042,71,7.41191646301323,3.79375781900393e-08
"entry12 - entry13",-378.980450549498,70.7499366656705,71,-5.3566189372066,0.000167743062081671
"entry12 - entry14",212.287208765727,70.9978866230148,71,2.99004968828061,0.265821433165581
"entry12 - entry16",-290.833138108779,74.8257557911661,71,-3.8868052187869,0.0275327528100031
"entry12 - entry17",-181.196763742052,74.1615357385105,71,-2.44327146057145,0.628669138740047
"entry12 - entry18",-56.0672820592556,76.1542782752239,71,-0.736232859520075,0.999999773173303
"entry12 - entry19",-102.461800088938,82.2778847015347,71,-1.24531398030735,0.999304359064367
"entry12 - entry20",-523.751816535205,75.2673548731249,71,-6.95855218265703,2.56792393793503e-07
"entry12 - entry3",-25.6898767378502,81.0624195482521,71,-0.316914753852843,1
"entry12 - entry5",-231.231474103024,73.929987271526,71,-3.12770883151609,0.199598034709017
"entry12 - entry8",80.8302500046598,77.3713848168138,71,1.04470470828505,0.999941418899913
"entry12 - entry15",73.0784492457998,93.9009224609461,71,0.77825060000016,0.999999428572994
"entry13 - entry14",591.267659315225,65.0666673731284,71,9.08710532114037,0
"entry13 - entry16",88.1473124407191,69.827425151301,71,1.26235948482595,0.999166944329418
"entry13 - entry17",197.783686807446,68.4956793866646,71,2.88753522234502,0.323440558862107
"entry13 - entry18",322.913168490242,70.4737067208774,71,4.58203752172697,0.00287690449631739
"entry13 - entry19",276.51865046056,77.7421748857971,71,3.55686795316396,0.0701998307343518
"entry13 - entry20",-144.771365985707,69.5768996030172,71,-2.0807389638188,0.855198250933243
"entry13 - entry3",353.290573811648,75.4460033069134,71,4.68269435525254,0.00202153218383139
"entry13 - entry5",147.748976446474,68.1107852672071,71,2.16924494214589,0.808405884941716
"entry13 - entry8",459.810700554158,71.6715624230262,71,6.41552500056051,2.45350601746352e-06
"entry13 - entry15",452.058899795298,88.703779882681,71,5.09627549573634,0.000449270771441079
"entry14 - entry16",-503.120346874506,70.0772751922516,71,-7.17950784322356,1.01386649409285e-07
"entry14 - entry17",-393.48397250778,68.7748315664901,71,-5.72133676732262,4.05142431589844e-05
"entry14 - entry18",-268.354490824983,70.7297786070166,71,-3.79408074095628,0.0361849056022714
"entry14 - entry19",-314.749008854665,77.9692710850271,71,-4.03683405621973,0.0174232839282255
"entry14 - entry20",-736.039025300932,69.8496776529575,71,-10.5374720404278,0
"entry14 - entry3",-237.977085503578,75.6905467889605,71,-3.14407935467956,0.192586332241003
"entry14 - entry5",-443.518682868751,68.3860489533772,71,-6.4855140727771,1.83892026583976e-06
"entry14 - entry8",-131.456958761068,71.9419831655098,71,-1.82726348339102,0.948427713860634
"entry14 - entry15",-139.208759519928,88.9198673562495,71,-1.5655529372553,0.988796450080479
"entry16 - entry17",109.636374366727,73.3377933449912,71,1.49495054822527,0.993297786652432
"entry16 - entry18",234.765856049523,75.2957551911808,71,3.11791621524264,0.203879553188211
"entry16 - entry19",188.371338019841,81.4543050201435,71,2.31260137783088,0.719485165336464
