"entry","BLUP","SE"
"1",80.8272792165028,74.0204352243329
"2",248.478159532714,78.9239282003531
"3",-50.5010088735597,85.4525214833096
"4",-114.215718333956,74.0204352243329
"5",79.3664890268799,78.9393430360559
"6",-55.9269132901657,74.0204352243329
"7",23.4749336366186,78.9448086858485
"8",-237.696718843811,85.4051819301892
"9",-128.731352771131,108.189052702334
"10",-86.1707751167317,78.9239546036033
"11",418.431088935354,74.0204352243329
"12",-178.566031319917,85.4023017635178
"13",137.694339379563,74.0204352243329
"14",-280.243888491877,74.0204352243329
"15",-104.114396161768,94.4740667908202
"16",132.010181461599,78.9238110034792
"17",-16.1619378576905,85.4022905352675
"18",-123.835380134476,78.9448086858485
"19",-45.0231262215745,85.3891864571246
"20",300.904776227105,78.9157098623483
