"env","cov","entry","estimate","stderr","df","lower.CL","upper.CL","var_lsmean"
"Akron_2024","sph","1",4778.12638814061,222.130953105929,3,4071.2065571395,5485.04621914173,49342.1603277483
"Akron_2024","sph","2",4752.3415195296,225.890369151702,3,4033.4575488236,5471.22549023561,51026.4588754924
"Akron_2024","sph","4",4593.76761056432,229.479886336932,3,3863.46019415442,5324.07502697421,52661.0182332111
"Akron_2024","sph","6",4465.37332782239,225.748884913872,3,3746.93962310633,5183.80703253846,50962.5590398566
"Akron_2024","sph","7",4526.86047197319,221.317654904735,3,3822.52891882756,5231.19202511882,48981.5043725315
"Akron_2024","sph","9",4434.82273859079,225.523283944027,3,3717.10699684768,5152.53848033391,50860.7516008982
"Akron_2024","sph","10",4410.57678842993,227.462698775618,3,3686.6889631216,5134.46461373825,51739.2793342875
"Akron_2024","sph","11",4900.27820723341,232.177945148265,3,4161.38436352795,5639.17205093887,53906.5982132706
"Akron_2024","sph","12",4466.76864571198,223.067830297636,3,3756.86725335362,5176.67003807035,49759.2569136951
"Akron_2024","sph","13",5011.90085016416,227.485177902404,3,4287.94148624185,5735.86021408648,51749.5061652885
"Akron_2024","sph","14",4220.22525781263,228.293519614255,3,3493.69338979603,4946.75712582924,52117.9310978644
"Akron_2024","sph","16",4907.84361028787,226.074853216104,3,4188.37252895273,5627.31469162302,51109.8392566829
"Akron_2024","sph","17",4599.76698658061,227.27586959535,3,3876.47373510675,5323.06023805447,51654.3209003225
"Akron_2024","sph","18",4475.33459833396,228.95396423262,3,3746.7009007818,5203.96829588612,52419.9177378318
"Akron_2024","sph","19",4521.4006016004,221.658306105109,3,3815.98494430075,5226.81625890004,49132.404665386
"Akron_2024","sph","20",4927.05586429522,227.273002316849,3,4203.77173778123,5650.33999080921,51653.0175821143
"Akron_2025","gau","1",4895.03911896293,477.415750128072,3,3375.6891288836,6414.38910904227,227925.79847035
"Akron_2025","gau","3",4306.54733173352,476.652666629533,3,2789.62581391474,5823.46884955231,227197.764605045
"Akron_2025","gau","4",4460.95023265259,477.817484181132,3,2940.32174552039,5981.57871978479,228309.548189187
"Akron_2025","gau","5",4501.37763291307,483.720408897855,3,2961.96340482576,6040.79186100037,233985.433984308
"Akron_2025","gau","6",4575.54706924883,478.275155343001,3,3053.46206821851,6097.63207027916,228747.124218372
"Akron_2025","gau","7",4626.18782435764,483.652592232757,3,3086.98941916562,6165.38622954967,233919.829973466
"Akron_2025","gau","8",4277.51966626271,482.057741565279,3,2743.39678768488,5811.64254484054,232379.666203018
"Akron_2025","gau","10",4422.311069549,479.676980296903,3,2895.76483587348,5948.85730322453,230090.005426756
"Akron_2025","gau","11",4843.72949759004,478.114463544993,3,3322.15588957857,6365.3031056015,228593.440250917
"Akron_2025","gau","13",4701.29048579326,483.486389299449,3,3162.62101251226,6239.95995907425,233759.088637819
"Akron_2025","gau","14",4291.24133176298,478.828819975838,3,2767.39432276751,5815.08834075844,229277.038839454
"Akron_2025","gau","15",4460.00317089599,480.75768395907,3,2930.01765584369,5989.98868594828,231127.950685689
"Akron_2025","gau","16",4823.26851807801,474.547410401926,3,3313.04686516245,6333.49017099357,225195.244719174
"Akron_2025","gau","18",4260.89143315218,476.633585834332,3,2744.03063893958,5777.75222736478,227179.575145294
"Akron_2025","gau","19",4237.66975801057,476.070311087981,3,2722.60155543336,5752.73796058778,226642.941099407
"Akron_2025","gau","20",4709.37931350136,482.607639288651,3,3173.5064149455,6245.25221205721,232910.133499765
"FortCollins_2024","sph","1",4568.58795764203,200.720719569285,3,3929.80504525487,5207.37087002919,40288.8072644116
"FortCollins_2024","sph","2",4785.47317335658,200.059227924143,3,4148.79542261148,5422.15092410169,40023.6946776044
"FortCollins_2024","sph","3",4262.10577063335,199.245793847501,3,3628.01673016005,4896.19481110665,39698.8863659208
